:START_ID,:END_ID,relation,:TYPE
100639,600639,from,from
100640,600640,from,from
100641,600641,from,from
100642,600642,from,from
100643,600643,from,from
100644,600644,from,from
100645,600645,from,from
100646,600646,from,from
100647,600647,from,from
100648,600648,from,from
100649,600649,from,from
100650,600650,from,from
100651,600651,from,from
100652,600652,from,from
100653,600653,from,from
100654,600654,from,from
100655,600655,from,from
100656,600656,from,from
100657,600657,from,from
100658,600658,from,from
100659,600659,from,from
100660,600660,from,from
100661,600661,from,from
100662,600662,from,from
100663,600663,from,from
100664,600664,from,from
100665,600665,from,from
100666,600666,from,from
100667,600667,from,from
100668,600668,from,from
100669,600669,from,from
100670,600670,from,from
100671,600671,from,from
100672,600672,from,from
100673,600673,from,from
100674,600674,from,from
100675,600675,from,from
100676,600676,from,from
100677,600677,from,from
100678,600678,from,from
100679,600679,from,from
100680,600680,from,from
100681,600681,from,from
100682,600682,from,from
100683,600683,from,from
100684,600684,from,from
100685,600685,from,from
100686,600686,from,from
100687,600687,from,from
100688,600688,from,from
100689,600689,from,from
100690,600690,from,from
100691,600691,from,from
100692,600692,from,from
100693,600693,from,from
100694,600694,from,from
100695,600695,from,from
100696,600696,from,from
100697,600697,from,from
100698,600698,from,from
100699,600699,from,from
100700,600700,from,from
100701,600701,from,from
100702,600702,from,from
100703,600703,from,from
100704,600704,from,from
100705,600705,from,from
100706,600706,from,from
100707,600707,from,from
100708,600708,from,from
100709,600709,from,from
100710,600710,from,from
100711,600711,from,from
100712,600712,from,from
100713,600713,from,from
100714,600714,from,from
100715,600715,from,from
100716,600716,from,from
100717,600717,from,from
100718,600718,from,from
100719,600719,from,from
100720,600720,from,from
100721,600721,from,from
100722,600722,from,from
100723,600723,from,from
100724,600724,from,from
100725,600725,from,from
100726,600726,from,from
100727,600727,from,from
100728,600728,from,from
100729,600729,from,from
100730,600730,from,from
100731,600731,from,from
100732,600732,from,from
100733,600733,from,from
100734,600734,from,from
100735,600735,from,from
100736,600736,from,from
100737,600737,from,from
100738,600738,from,from
100739,600739,from,from
100740,600740,from,from
100741,600741,from,from
100742,600742,from,from
100743,600743,from,from
100744,600744,from,from
100745,600745,from,from
100746,600746,from,from
100747,600747,from,from
100748,600748,from,from
100749,600749,from,from
100750,600750,from,from
100751,600751,from,from
100752,600752,from,from
100753,600753,from,from
100754,600754,from,from
100755,600755,from,from
100756,600756,from,from
100757,600757,from,from
100758,600758,from,from
100759,600759,from,from
100760,600760,from,from
100761,600761,from,from
100762,600762,from,from
100763,600763,from,from
100764,600764,from,from
100765,600765,from,from
100766,600766,from,from
100767,600767,from,from
100768,600768,from,from
100769,600769,from,from
100770,600770,from,from
100771,600771,from,from
100772,600772,from,from
100773,600773,from,from
100774,600774,from,from
100775,600775,from,from
100776,600776,from,from
100777,600777,from,from
100778,600778,from,from
100779,600779,from,from
100780,600780,from,from
100781,600781,from,from
100782,600782,from,from
100783,600783,from,from
100784,600784,from,from
100785,600785,from,from
100786,600786,from,from
100787,600787,from,from
100788,600788,from,from
100789,600789,from,from
100790,600790,from,from
100791,600791,from,from
100792,600792,from,from
100793,600793,from,from
100794,600794,from,from
100795,600795,from,from
100796,600796,from,from
100797,600797,from,from
100798,600798,from,from
100799,600799,from,from
100800,600800,from,from
100801,600801,from,from
100802,600802,from,from
100803,600803,from,from
100804,600804,from,from
100805,600805,from,from
100806,600806,from,from
100807,600807,from,from
100808,600808,from,from
100809,600809,from,from
100810,600810,from,from
100811,600811,from,from
100812,600812,from,from
100813,600813,from,from
100814,600814,from,from
100815,600815,from,from
100816,600816,from,from
100817,600817,from,from
100818,600818,from,from
100819,600819,from,from
100820,600820,from,from
100821,600821,from,from
100822,600822,from,from
100823,600823,from,from
100824,600824,from,from
100825,600825,from,from
100826,600826,from,from
100827,600827,from,from
100828,600828,from,from
100829,600829,from,from
100830,600830,from,from
100831,600831,from,from
100832,600832,from,from
100833,600833,from,from
100834,600834,from,from
100835,600835,from,from
100836,600836,from,from
100837,600837,from,from
100838,600838,from,from
100839,600839,from,from
100840,600840,from,from
100841,600841,from,from
100842,600842,from,from
100843,600843,from,from
100844,600844,from,from
100845,600845,from,from
100846,600846,from,from
100847,600847,from,from
100848,600848,from,from
100849,600849,from,from
100850,600850,from,from
100851,600851,from,from
100852,600852,from,from
100853,600853,from,from
100854,600854,from,from
100855,600855,from,from
100856,600856,from,from
100857,600857,from,from
100858,600858,from,from
100859,600859,from,from
100860,600860,from,from
100861,600861,from,from
100862,600862,from,from
100863,600863,from,from
100864,600864,from,from
100865,600865,from,from
100866,600866,from,from
100867,600867,from,from
100868,600868,from,from
100869,600869,from,from
100870,600870,from,from
100871,600871,from,from
100872,600872,from,from
100873,600873,from,from
100874,600874,from,from
100875,600875,from,from
100876,600876,from,from
100877,600877,from,from
100878,600878,from,from
100879,600879,from,from
100880,600880,from,from
100881,600881,from,from
100882,600882,from,from
100883,600883,from,from
100884,600884,from,from
100885,600885,from,from
100886,600886,from,from
100887,600887,from,from
100888,600888,from,from
100889,600889,from,from
100890,600890,from,from
100891,600891,from,from
100892,600892,from,from
100893,600893,from,from
100894,600894,from,from
100895,600895,from,from
100896,600896,from,from
100897,600897,from,from
100898,600898,from,from
100899,600899,from,from
100900,600900,from,from
100901,600901,from,from
100902,600902,from,from
100903,600903,from,from
100904,600904,from,from
100905,600905,from,from
100906,600906,from,from
100907,600907,from,from
100908,600908,from,from
100909,600909,from,from
100910,600910,from,from
100911,600911,from,from
100912,600912,from,from
100913,600913,from,from
100914,600914,from,from
100915,600915,from,from
100916,600916,from,from
100917,600917,from,from
100918,600918,from,from
100919,600919,from,from
100920,600920,from,from
100921,600921,from,from
100922,600922,from,from
100923,600923,from,from
100924,600924,from,from
100925,600925,from,from
100926,600926,from,from
100927,600927,from,from
100928,600928,from,from
100929,600929,from,from
100930,600930,from,from
100931,600931,from,from
100932,600932,from,from
100933,600933,from,from
100934,600934,from,from
100935,600935,from,from
100936,600936,from,from
100937,600937,from,from
100938,600938,from,from
100939,600939,from,from
100940,600940,from,from
100941,600941,from,from
100942,600942,from,from
100943,600943,from,from
100944,600944,from,from
100945,600945,from,from
100946,600946,from,from
100947,600947,from,from
100948,600948,from,from
100949,600949,from,from
100950,600950,from,from
100951,600951,from,from
100952,600952,from,from
100953,600953,from,from
100954,600954,from,from
100955,600955,from,from
100956,600956,from,from
100957,600957,from,from
100958,600958,from,from
100959,600959,from,from
100960,600960,from,from
100961,600961,from,from
100962,600962,from,from
100963,600963,from,from
100964,600964,from,from
100965,600965,from,from
100966,600966,from,from
100967,600967,from,from
100968,600968,from,from
100969,600969,from,from
100970,600970,from,from
100971,600971,from,from
100972,600972,from,from
100973,600973,from,from
100974,600974,from,from
100975,600975,from,from
100976,600976,from,from
100977,600977,from,from
100978,600978,from,from
100979,600979,from,from
100980,600980,from,from
100981,600981,from,from
100982,600982,from,from
100983,600983,from,from
100984,600984,from,from
100985,600985,from,from
100986,600986,from,from
100987,600987,from,from
100988,600988,from,from
100989,600989,from,from
100990,600990,from,from
100991,600991,from,from
100992,600992,from,from
100993,600993,from,from
100994,600994,from,from
100995,600995,from,from
100996,600996,from,from
100997,600997,from,from
100998,600998,from,from
100999,600999,from,from
101000,601000,from,from
101001,601001,from,from
101002,601002,from,from
101003,601003,from,from
101004,601004,from,from
101005,601005,from,from
101006,601006,from,from
101007,601007,from,from
101008,601008,from,from
101009,601009,from,from
101010,601010,from,from
101011,601011,from,from
101012,601012,from,from
101013,601013,from,from
101014,601014,from,from
101015,601015,from,from
101016,601016,from,from
101017,601017,from,from
101018,601018,from,from
101019,601019,from,from
101020,601020,from,from
101021,601021,from,from
101022,601022,from,from
101023,601023,from,from
101024,601024,from,from
101025,601025,from,from
101026,601026,from,from
101027,601027,from,from
101028,601028,from,from
101029,601029,from,from
101030,601030,from,from
101031,601031,from,from
101032,601032,from,from
101033,601033,from,from
101034,601034,from,from
101035,601035,from,from
101036,601036,from,from
101037,601037,from,from
101038,601038,from,from
101039,601039,from,from
101040,601040,from,from
101041,601041,from,from
101042,601042,from,from
101043,601043,from,from
101044,601044,from,from
101045,601045,from,from
101046,601046,from,from
101047,601047,from,from
101048,601048,from,from
101049,601049,from,from
101050,601050,from,from
101051,601051,from,from
101052,601052,from,from
101053,601053,from,from
101054,601054,from,from
101055,601055,from,from
101056,601056,from,from
101057,601057,from,from
101058,601058,from,from
101059,601059,from,from
101060,601060,from,from
101061,601061,from,from
101062,601062,from,from
101063,601063,from,from
101064,601064,from,from
101065,601065,from,from
101066,601066,from,from
101067,601067,from,from
101068,601068,from,from
101069,601069,from,from
101070,601070,from,from
101071,601071,from,from
101072,601072,from,from
101073,601073,from,from
101074,601074,from,from
101075,601075,from,from
101076,601076,from,from
101077,601077,from,from
101078,601078,from,from
101079,601079,from,from
101080,601080,from,from
101081,601081,from,from
101082,601082,from,from
101083,601083,from,from
101084,601084,from,from
101085,601085,from,from
101086,601086,from,from
101087,601087,from,from
101088,601088,from,from
101089,601089,from,from
101090,601090,from,from
101091,601091,from,from
101092,601092,from,from
101093,601093,from,from
101094,601094,from,from
101095,601095,from,from
101096,601096,from,from
101097,601097,from,from
101098,601098,from,from
101099,601099,from,from
101100,601100,from,from
101101,601101,from,from
101102,601102,from,from
101103,601103,from,from
101104,601104,from,from
101105,601105,from,from
101106,601106,from,from
101107,601107,from,from
101108,601108,from,from
101109,601109,from,from
101110,601110,from,from
101111,601111,from,from
101112,601112,from,from
101113,601113,from,from
101114,601114,from,from
101115,601115,from,from
101116,601116,from,from
101117,601117,from,from
101118,601118,from,from
101119,601119,from,from
101120,601120,from,from
101121,601121,from,from
101122,601122,from,from
101123,601123,from,from
101124,601124,from,from
101125,601125,from,from
101126,601126,from,from
101127,601127,from,from
101128,601128,from,from
101129,601129,from,from
101130,601130,from,from
101131,601131,from,from
101132,601132,from,from
101133,601133,from,from
101134,601134,from,from
101135,601135,from,from
101136,601136,from,from
101137,601137,from,from
101138,601138,from,from
101139,601139,from,from
101140,601140,from,from
101141,601141,from,from
101142,601142,from,from
101143,601143,from,from
101144,601144,from,from
101145,601145,from,from
101146,601146,from,from
101147,601147,from,from
101148,601148,from,from
101149,601149,from,from
101150,601150,from,from
101151,601151,from,from
101152,601152,from,from
101153,601153,from,from
101154,601154,from,from
101155,601155,from,from
101156,601156,from,from
101157,601157,from,from
101158,601158,from,from
101159,601159,from,from
101160,601160,from,from
